Job Name,Count
"['fondé pouvoir,']",1
['fontainier'],1
['forgeron'],1
"['françois', 'tapissier']",1
['frigos'],1
"['fritz', 'tailleur']",1
['fruits et légumes'],1
['g. laitier'],1
['g.-malade'],1
['galvanisentrue'],1
['galvaniseur'],1
['garde champêtre'],1
['garde malade'],1
['garde'],1
['garde-malade'],1
"['garde-malades,']",1
['garde-malades.'],1
"['garç. de mag', 'maçon']",1
['garçon boucher'],1
['garçon de peine'],1
['gendarme'],1
['gouv'],1
['gouvern'],1
['gouvernante'],1
"['gouvernante,']",1
['graphologue'],1
['graveur surbois'],1
['greffier dujuge d’instruction'],1
['greffier juge informateur'],1
['gvpsier-peintre et épicerie'],1
['gvpsier-peintre'],1
['gyps.-peintre.monte'],1
['gypsier-peintre'],1
['gypsiers-peintres'],1
['géomètre'],1
['géomètrebreveté'],1
['gér'],1
['gérances'],1
['gérant café ch.-de bourg'],1
['gérant dela société du gaz'],1
['gérant'],1
"['gérant,']",1
"['gérante', 'coopê']",1
"['hiltbrand emile,', 'épicier']",1
"['hoirs de m.-f.', 'huis de chauffage']",1
['homme de lettres'],1
['huiles pour autos'],1
['huissier du tribunal'],1
['huissier-chef trib. fédéra'],1
['huissierde la direct'],1
['héliographe'],1
['héliograveur'],1
['hôtelier'],1
['iardinier'],1
['in. de dessin'],1
['infirmière'],1
['ing'],1
"['ing.-conseil,']",1
['ingén. cff.'],1
['ingén.'],1
['ingénieur neocalor'],1
['ingénieurcantonal'],1
"['insp. assurances,']",1
"['inspect, forestier']",1
"['inspect. direct,des postes']",1
['inspecteur dubétail'],1
['inspecteur forestier'],1
['inst'],1
['inst.'],1
['institut'],1
['institutrice retraitée'],1
"['institutrice', 'sq.']",1
"['intendant casernes,']",1
['intendant de la caserne'],1
['jardi-dinier'],1
['jardinier du cimetière de la pon'],1
"['jardinier', 'moulin des (']",1
['journhlière'],1
['juge cantonal'],1
['la manufacturelausannoise de biscuits'],1
['laborant..'],1
['laiterie'],1
['lieut.-colonel-instructêur'],1
['limonadier'],1
['limonadier.vue de la ponto:se 36'],1
"['lingère', 'couturière']",1
"['lingère', 'v. maria']",1
['lingére'],1
['lingêre'],1
['linotypiste'],1
['liquoriste'],1
['lithogr.'],1
['litogr.'],1
['liugère'],1
['livreur. monte'],1
"['louisa', 'épicerie']",1
['m. charpentier et cafetier'],1
['m. charretier'],1
['m. cordonnier'],1
['m. gypsier-peintre'],1
['m. tailleur'],1
['magasin'],1
"['magasin.-livreur,']",1
['maitresse de piano'],1
['maitresse de.pension'],1
"['man', '.,']",1
"['man.', 'sommelière']",1
['manoeuvre'],1
['manuf. trousseaux'],1
"['manœuvre ,']",1
['manœuvre.'],1
"['march, decombutibles,']",1
['marchand de combustible et liquoriste'],1
['marchand de vins'],1
"['marchand forain', ', 17.']",1
['marchandde légumes'],1
['marchande'],1
['marchandforain'],1
"['margeur', 'v. beauval,']",1
['margeur'],1
['marguer'],1
